,Unnamed: 0,Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits,ratings,difficulties,num_ratings
229,229,2018-19,Spring,CS,3654,Intro Data Analytics & Visual,Sengupta,3.53,58.3,25.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0,12,19846,3,3.5,3.0,87.0
230,230,2018-19,Spring,CS,4644,Creative Computing Studio,Kelliher,3.62,33.3,33.3,16.7,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,20124,3,4.4,2.0,44.0
231,231,2019-20,Spring,CS,3414,Numerical Methods,Onufriev,3.53,41.7,16.7,16.7,16.7,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0,12,13013,3,1.0,5.0,1.0
232,232,2019-20,Spring,CS,5104,Comp and Formal Lang,Heath,3.97,91.7,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,19687,3,5.0,2.6,29.0
233,233,2020-21,Fall,CS,4634,Design Of Information,Harrison,3.24,41.7,8.3,25.0,8.3,0.0,8.3,0.0,0.0,0.0,0.0,0.0,8.3,0,12,83045,3,4.3,2.8,36.0
234,234,2020-21,Fall,CS,5040,Intermed Data Struct/Algorithm,Edmison,3.86,83.3,0.0,8.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,91334,3,1.0,5.0,1.0
235,235,2020-21,Fall,CS,5774,User Interface Software,Luther,3.62,58.3,8.3,8.3,8.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,91338,3,5.0,3.5,4.0
236,236,2020-21,Fall,CS,5934,Capstone Project,Hooshangi,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,92000,3,5.0,1.0,1.0
237,237,2020-21,Spring,CS,2164,Foundations Security Environ,Suong,3.52,41.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0,12,13096,3,4.9,2.5,4.0
238,238,2020-21,Spring,CS,5814,Introduction to Deep Learning,Reddy,3.75,50.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,20422,3,3.5,3.4,14.0
